season_number,episode_number,rating,votes,episode_order
1,1,8.2,2673,1
1,2,7.9,2101,2
1,3,7.9,2006,3
1,4,7.8,1935,4
1,5,7.7,1809,5
1,6,8.2,1868,6
1,7,8.5,1938,7
1,8,8.2,1870,8
1,9,8.3,1889,9
1,10,8.1,1734,10
1,11,8.1,1730,11
1,12,7.8,1780,12
1,13,8.7,2100,13
2,1,6.6,1915,14
2,2,8.5,1814,15
2,3,8.2,1673,16
2,4,8.2,1696,17
2,5,7.9,1580,18
2,6,7.8,1567,19
2,7,7.6,1577,20
2,8,7.7,1484,21
2,9,7.8,1536,22
2,10,8.1,1503,23
2,11,7.8,1477,24
2,12,8.1,1456,25
2,13,7.8,1437,26
2,14,8,1500,27
2,15,8.6,1699,28
2,16,8.2,1535,29
2,17,8.5,1644,30
2,18,8.1,1506,31
3,1,8.5,1834,32
3,2,8.3,1532,33
3,3,8.1,1578,34
3,4,6.7,1575,35
3,5,7.8,1511,36
3,6,8.4,1649,37
3,7,8.1,1514,38
3,8,8.2,1466,39
3,9,7.6,1381,40
3,10,8,1595,41
3,11,8.8,1894,42
3,12,8.1,1402,43
3,13,8.2,1411,44
3,14,8.4,1496,45
3,15,7.4,1473,46
3,16,8,1377,47
3,17,8.2,1369,48
4,1,8.3,1498,49
4,2,8.7,1623,50
4,3,8.3,1475,51
4,4,7.5,1361,52
4,5,9,2164,53
4,6,8.2,1389,54
4,7,8.3,1421,55
4,8,8.2,1462,56
4,9,8.4,1485,57
4,10,8.4,1404,58
4,11,8.2,1394,59
4,12,8.2,1421,60
4,13,7.9,1337,61
4,14,7,1502,62
4,15,8.6,1604,63
4,16,8.8,1776,64
4,17,7.6,1290,65
5,1,8.5,1647,66
5,2,8.4,1580,67
5,3,8.4,1499,68
5,4,9.6,5704,69
5,5,7.2,1370,70
5,6,8.9,2139,71
5,7,8.6,1617,72
5,8,8.4,1765,73
5,9,8,1631,74
5,10,8.1,1520,75
5,11,8.3,1459,76
5,12,8.2,1459,77
5,13,8.9,2068,78
5,14,8.9,2227,79
6,1,8.2,1505,80
6,2,8.4,1719,81
6,3,8.1,1427,82
6,4,8.1,1414,83
6,5,8.2,1577,84
6,6,8.6,1638,85
6,7,8.9,2199,86
6,8,8.3,1578,87
6,9,8.4,1567,88
6,10,8.3,1584,89
6,11,8.6,1581,90
6,12,8.8,1791,91
6,13,9.3,3223,92
6,14,8.8,1792,93
6,15,8.7,1740,94
6,16,8.6,1589,95
6,17,8.1,1441,96
7,1,8.5,1690,97
7,2,8.2,1530,98
7,3,8.4,1530,99
7,4,8.2,1484,100
7,5,8.5,1741,101
7,6,8.6,1573,102
7,7,7.7,1358,103
7,8,8.3,1591,104
7,9,9,2316,105
7,10,8.3,1430,106
7,11,9.2,2528,107
7,12,8.9,2198,108
7,13,8.1,1462,109
7,14,8.5,1652,110
7,15,7.8,1375,111
8,1,9.1,2804,112
8,2,8.5,1700,113
8,3,8.7,2053,114
8,4,8.2,1572,115
8,5,9.2,2806,116
8,6,8.7,1887,117
8,7,8.4,1706,118
8,8,8.5,1668,119
8,9,8.7,1715,120
8,10,8.4,1548,121
8,11,8.4,1495,122
8,12,8.6,1773,123
8,13,8.6,1656,124
8,14,9.1,2890,125
9,1,7.7,1608,126
9,2,8.8,1982,127
9,3,7.5,1454,128
9,4,8.7,1718,129
9,5,8.7,1770,130
9,6,9.1,2409,131
9,7,7.7,1460,132
9,8,8.6,1756,133
9,9,8.8,1795,134
9,10,8,1405,135
9,11,8.8,1922,136
9,12,9.1,3177,137
9,13,8.2,1614,138
9,14,7.9,1509,139
10,1,8.2,1792,140
10,2,8.2,1642,141
10,3,8.8,1993,142
10,4,8.8,1941,143
10,5,6.4,2058,144
10,6,8,1934,145
10,7,9,2489,146
10,8,9.5,5392,147
10,9,8.3,1717,148
10,10,8.5,1853,149
10,11,8.1,1607,150
10,12,8.7,1845,151
10,13,8.7,1783,152
10,14,7.4,1944,153
11,1,8.8,2385,154
11,2,8.8,2259,155
11,3,8,1786,156
11,4,8.3,1826,157
11,5,8.3,1701,158
11,6,7.9,1790,159
11,7,8.8,2184,160
11,8,8.9,2316,161
11,9,8,1848,162
11,10,9,2907,163
11,11,9,2403,164
11,12,9,2389,165
11,13,8.4,1977,166
11,14,8.5,1787,167
12,1,7.9,1752,168
12,2,7,1899,169
12,3,8.7,2265,170
12,4,8,1699,171
12,5,7.7,1553,172
12,6,8.6,1916,173
12,7,8.4,1632,174
12,8,7.9,1789,175
12,9,8.6,1798,176
12,10,8.1,1461,177
12,11,7.9,1431,178
12,12,7.8,1502,179
12,13,7.8,1450,180
12,14,7.9,1429,181
13,1,8.2,1811,182
13,2,8.4,1850,183
13,3,8.6,1824,184
13,4,6.5,1657,185
13,5,8.8,2306,186
13,6,7.9,1494,187
13,7,8.2,1601,188
13,8,7.8,1474,189
13,9,8.7,1892,190
13,10,8.3,1500,191
13,11,8.3,1532,192
13,12,8.2,1469,193
13,13,8.2,1406,194
13,14,7.7,1394,195
14,1,7.6,1515,196
14,2,8,1573,197
14,3,8.7,2043,198
14,4,8.8,2089,199
14,5,8.8,1707,200
14,6,8.7,1471,201
14,7,6.9,1563,202
14,8,7.6,1383,203
14,9,8,1511,204
14,10,8.1,1484,205
14,11,8.2,1358,206
14,12,8.4,1413,207
14,13,8.4,1345,208
14,14,8.2,1475,209
15,1,7.6,1912,210
15,2,6.3,1556,211
15,3,6.8,1489,212
15,4,8,1404,213
15,5,7.5,1360,214
15,6,8,1489,215
15,7,8.6,1956,216
15,8,8.1,1508,217
15,9,8.1,1366,218
15,10,7.6,1250,219
15,11,7.9,1288,220
15,12,7.8,1253,221
15,13,7.4,1226,222
15,14,8,1208,223
16,1,7.8,1546,224
16,2,7.9,1432,225
16,3,7.3,1399,226
16,4,6.7,1350,227
16,5,7.6,1329,228
16,6,6.8,1694,229
16,7,8.1,1448,230
16,8,7.5,1350,231
16,9,8.2,1377,232
16,10,8.3,1363,233
16,11,6.6,1191,234
16,12,8.3,1331,235
16,13,7.3,1117,236
16,14,7.5,1182,237
17,1,7.5,1439,238
17,2,8.1,1470,239
17,3,7.8,1508,240
17,4,6.9,1330,241
17,5,7.3,1182,242
17,6,7.8,1306,243
17,7,8.9,2194,244
17,8,8.8,1851,245
17,9,8.8,1688,246
17,10,8.5,1537,247
18,1,7.8,1663,248
18,2,7.8,1473,249
18,3,8.6,1811,250
18,4,7.4,1398,251
18,5,8,1326,252
18,6,8.3,1424,253
18,7,9.1,2680,254
18,8,8.4,1477,255
18,9,7.5,1209,256
18,10,6.9,1262,257
19,1,7.8,1923,258
19,2,8.3,1752,259
19,3,7.7,1505,260
19,4,8.1,1500,261
19,5,8.5,1694,262
19,6,8,1696,263
19,7,8.4,1351,264
19,8,9,1836,265
19,9,8.2,1152,266
19,10,8,1114,267
20,1,8,1560,268
20,2,8.2,1268,269
20,3,8.2,1195,270
20,4,8,1087,271
20,5,7.4,1055,272
20,6,7.5,1023,273
20,7,7.1,1030,274
20,8,7.5,968,275
20,9,7.5,900,276
20,10,7,1009,277
21,1,6.6,1616,278
21,2,7.9,1635,279
21,3,7.7,1193,280
21,4,7.3,1096,281
21,5,7.4,1091,282
21,6,7.3,964,283
21,7,7.4,1008,284
21,8,7.2,833,285
21,9,7.9,896,286
21,10,7.1,906,287
